FROM,TO,ROCK,AU,AG,CU,XCOLLAR,YCOLLAR,ZCOLLAR
0.0,120.319,0.0,0.0,0.0,0.0,1692.572266,537.331543,651.6173706
120.319,121.777,2.0,2.2834,49.61135459,0.75531497,1692.572266,537.331543,651.6173706
121.777,124.277,2.0,4.03565,108.8772502,0.06997427,1692.572266,537.331543,651.6173706
124.277,126.777,1.0,4.05984,92.62225802,0.04769875,1692.572266,537.331543,651.6173706
126.777,129.277,2.0,1.36533,51.69051878,0.11736973,1692.572266,537.331543,651.6173706
129.277,131.777,1.0,0.13079,44.64813331,0.0,1692.572266,537.331543,651.6173706
131.777,134.277,1.0,0.16687,18.27740775,0.0,1692.572266,537.331543,651.6173706
134.277,136.777,1.0,0.91266,45.59573301,0.0,1692.572266,537.331543,651.6173706
136.777,139.277,1.0,1.25507,21.76327626,0.0,1692.572266,537.331543,651.6173706
139.277,141.777,1.0,3.1525,111.9365518,0.91986454,1692.572266,537.331543,651.6173706
141.777,144.277,1.0,2.10208,98.60993911,0.0,1692.572266,537.331543,651.6173706
144.277,146.777,1.0,1.42338,63.93215924,0.0,1692.572266,537.331543,651.6173706
146.777,149.277,1.0,1.3875,64.87644,0.0,1692.572266,537.331543,651.6173706
149.277,151.777,1.0,0.90148,74.50174955,0.69312576,1692.572266,537.331543,651.6173706
151.777,154.277,1.0,1.14954,34.85619173,0.17301179,1692.572266,537.331543,651.6173706
154.277,156.777,1.0,2.13324,51.08687414,1.55507497,1692.572266,537.331543,651.6173706
156.777,159.277,1.0,1.4882,32.5928346,0.0,1692.572266,537.331543,651.6173706
159.277,161.777,1.0,1.37462,37.88216649,1.07796591,1692.572266,537.331543,651.6173706
161.777,164.277,1.0,1.15697,41.40750423,0.00571464,1692.572266,537.331543,651.6173706
164.277,166.777,1.0,1.16163,63.23303897,0.94010052,1692.572266,537.331543,651.6173706
166.777,169.277,1.0,1.44598,20.51278958,0.0,1692.572266,537.331543,651.6173706
169.277,171.777,1.0,2.2297,92.1067656,0.45893275,1692.572266,537.331543,651.6173706
171.777,174.277,1.0,2.81402,211.0198747,0.7797116,1692.572266,537.331543,651.6173706
174.277,176.777,1.0,2.84116,42.31267665,2.77805115,1692.572266,537.331543,651.6173706
176.777,179.277,1.0,4.36463,0.0,2.69571533,1692.572266,537.331543,651.6173706
179.277,181.777,1.0,2.84669,83.52989173,1.32210952,1692.572266,537.331543,651.6173706
181.777,184.277,1.0,1.13224,57.61024235,0.263852,1692.572266,537.331543,651.6173706
184.277,186.777,1.0,3.84002,94.35692109,0.09451021,1692.572266,537.331543,651.6173706
186.777,189.277,1.0,4.38971,147.5228697,2.41926733,1692.572266,537.331543,651.6173706
189.277,191.777,1.0,2.99404,13.85083729,0.0,1692.572266,537.331543,651.6173706
191.777,194.277,1.0,3.31525,66.99862846,0.38818043,1692.572266,537.331543,651.6173706
194.277,196.777,1.0,3.12189,77.39149169,0.07898581,1692.572266,537.331543,651.6173706
196.777,197.862,1.0,1.52779,54.63802241,0.28539633,1692.572266,537.331543,651.6173706
0.0,121.303,0.0,0.0,0.0,0.0,1738.934937,512.4258423,648.1289063
121.303,123.78,1.0,1.33828,51.67504571,1.01992448,1738.934937,512.4258423,648.1289063
123.78,126.28,2.0,0.57364,56.05272029,0.0,1738.934937,512.4258423,648.1289063
126.28,128.78,1.0,0.1577,86.01549806,0.0,1738.934937,512.4258423,648.1289063
128.78,131.28,1.0,0.58578,19.95873389,0.44494763,1738.934937,512.4258423,648.1289063
