midx;midy;midz
10595;10715;3895
10605;10705;3895
10615;10705;3895
10605;10715;3895
10615;10715;3895
10625;10705;3895
10635;10705;3895
10625;10715;3895
10635;10715;3895
10645;10705;3895
10655;10705;3895
10645;10715;3895
10655;10715;3895
10665;10715;3895
10595;10725;3895
10585;10735;3895
10595;10735;3895
10605;10725;3895
10615;10725;3895
10605;10735;3895
10615;10735;3895
10625;10725;3895
10635;10725;3895
10625;10735;3895
10635;10735;3895
10645;10725;3895
10655;10725;3895
10645;10735;3895
10655;10735;3895
10665;10725;3895
10675;10725;3895
10665;10735;3895
10675;10735;3895
10685;10735;3895
10575;10755;3895
10585;10745;3895
10595;10745;3895
10585;10755;3895
10595;10755;3895
10605;10745;3895
10615;10745;3895
10605;10755;3895
10615;10755;3895
10625;10745;3895
10635;10745;3895
10625;10755;3895
10635;10755;3895
10645;10745;3895
10655;10745;3895
10645;10755;3895
10655;10755;3895
10665;10745;3895
10675;10745;3895
10665;10755;3895
10675;10755;3895
10685;10745;3895
10695;10745;3895
10685;10755;3895
10695;10755;3895
10705;10755;3895
10575;10765;3895
10575;10775;3895
10585;10765;3895
10595;10765;3895
10585;10775;3895
10595;10775;3895
10605;10765;3895
10615;10765;3895
10605;10775;3895
10615;10775;3895
10625;10765;3895
10635;10765;3895
10625;10775;3895
10635;10775;3895
10645;10775;3885
10655;10775;3885
10645;10765;3895
10655;10765;3895
10645;10775;3895
10655;10775;3895
10665;10765;3895
10675;10765;3895
10665;10775;3895
10675;10775;3895
10685;10765;3895
10695;10765;3895
10685;10775;3895
10695;10775;3895
10705;10765;3895
10715;10765;3895
10705;10775;3895
10715;10775;3895
10725;10775;3895
10735;10775;3895
10575;10785;3895
10565;10795;3895
10575;10795;3895
10585;10785;3895
10595;10785;3895
10585;10795;3895
10595;10795;3895
10615;10795;3885
10605;10785;3895
10615;10785;3895
10605;10795;3895
10615;10795;3895
10625;10785;3885
10635;10785;3885
10625;10795;3885
10635;10795;3885
10625;10785;3895
10635;10785;3895
10625;10795;3895
10635;10795;3895
10645;10785;3885
10655;10785;3885
10645;10795;3885
10655;10795;3885
10645;10785;3895
10655;10785;3895
10645;10795;3895
10655;10795;3895
10665;10785;3885
10675;10785;3885
10665;10795;3885
10675;10795;3885
10665;10785;3895
10675;10785;3895
10665;10795;3895
10675;10795;3895
10685;10795;3885
10685;10785;3895
10695;10785;3895
10685;10795;3895
10695;10795;3895
10705;10785;3895
10715;10785;3895
10705;10795;3895
10715;10795;3895
10725;10785;3895
10735;10785;3895
10725;10795;3895
10735;10795;3895
10745;10785;3895
10745;10795;3895
10755;10795;3895
10565;10805;3895
10575;10805;3895
10565;10815;3895
10575;10815;3895
10585;10805;3895
10595;10805;3895
10585;10815;3895
10595;10815;3895
10615;10805;3885
10615;10815;3885
10605;10805;3895
10615;10805;3895
10605;10815;3895
10615;10815;3895
10625;10805;3885
10635;10805;3885
10625;10815;3885
10635;10815;3885
10625;10805;3895
10635;10805;3895
10625;10815;3895
10635;10815;3895
10645;10805;3885
10655;10805;3885
10645;10815;3885
10655;10815;3885
10645;10805;3895
10655;10805;3895
10645;10815;3895
10655;10815;3895
10665;10805;3885
10675;10805;3885
10665;10815;3885
10675;10815;3885
10665;10805;3895
10675;10805;3895
10665;10815;3895
10675;10815;3895
10685;10805;3885
10695;10805;3885
