dhid;midx;midy;midz;length;from;to;geocod;cu
SM-001;10381;11143;4105.5;10;0;10;1;0
SM-001;10381;11143;4095.5;10;10;20;1;0
SM-001;10381;11143;4085.5;10;20;30;1;0
SM-001;10381;11143;4075.5;10;30;40;1;0
SM-001;10381;11143;4065.5;10;40;50;1;0
SM-001;10381;11143;4055.5;10;50;60;1;0
SM-001;10381;11143;4045.5;10;60;70;1;0
SM-001;10381;11143;4035.5;10;70;80;1;0
SM-001;10381;11143;4025.5;10;80;90;1;0
SM-001;10381;11143;4015.5;10;90;100;1;0
SM-001;10381;11143;4005.5;10;100;110;1;0
SM-001;10381;11143;3995.5;10;110;120;1;0
SM-001;10381;11143;3985.5;10;120;130;1;0
SM-001;10381;11143;3975.5;10;130;140;1;0.012
SM-001;10381;11143;3965.5;10;140;150;1;0.013
SM-001;10381;11143;3959.3;2.4;150;152.4;1;0
SM-002;10533.4;11143;4107.4;10;0;10;1;0
SM-002;10533.4;11143;4097.4;10;10;20;1;0
SM-002;10533.4;11143;4087.4;10;20;30;1;0
SM-002;10533.4;11143;4077.4;10;30;40;1;0
SM-002;10533.4;11143;4067.4;10;40;50;1;0.001
SM-002;10533.4;11143;4057.4;10;50;60;1;0.005
SM-002;10533.4;11143;4047.4;10;60;70;1;0
SM-002;10533.4;11143;4037.4;10;70;80;1;0
SM-002;10533.4;11143;4027.4;10;80;90;1;0.009
SM-002;10533.4;11143;4017.4;10;90;100;1;0.014
SM-002;10533.4;11143;4007.4;10;100;110;1;0.026
SM-002;10533.4;11143;3997.4;10;110;120;1;0.014
SM-002;10533.4;11143;3987.4;10;120;130;1;0.012
SM-002;10533.4;11143;3980.35;4.1;130;134.1;1;0.01
SM-003;10685.8;11143;4109.3;10;0;10;1;0
SM-003;10685.8;11143;4099.3;10;10;20;1;0
SM-003;10685.8;11143;4089.3;10;20;30;1;0
SM-003;10685.8;11143;4079.3;10;30;40;1;0.019
SM-003;10685.8;11143;4069.3;10;40;50;1;0.005
SM-003;10685.8;11143;4059.3;10;50;60;1;0
SM-003;10685.8;11143;4049.3;10;60;70;1;0.006
SM-003;10685.8;11143;4039.3;10;70;80;1;0.014
SM-003;10685.8;11143;4029.3;10;80;90;1;0.025
SM-003;10685.8;11143;4019.3;10;90;100;1;0.035
SM-003;10685.8;11143;4009.3;10;100;110;1;0.012
SM-003;10685.8;11143;3999.3;10;110;120;1;0.036
SM-003;10685.8;11143;3989.3;10;120;130;1;0.02
SM-003;10685.8;11143;3979.3;10;130;140;1;0.046
SM-003;10685.8;11143;3969.3;10;140;150;1;0.027
SM-003;10685.8;11143;3959.3;10;150;160;1;0.047
SM-003;10685.8;11143;3949.3;10;160;170;1;0.051
SM-003;10685.8;11143;3939.3;10;170;180;1;0.063
SM-003;10685.8;11143;3932.85;2.9;180;182.9;1;0.07
SM-004;10838.2;11143;4114;10;0;10;1;0
SM-004;10838.2;11143;4104;10;10;20;1;0
SM-004;10838.2;11143;4094;10;20;30;1;0
SM-004;10838.2;11143;4084;10;30;40;1;0.007
SM-004;10838.2;11143;4074;10;40;50;1;0.018
SM-004;10838.2;11143;4064;10;50;60;1;0
SM-004;10838.2;11143;4054;10;60;70;1;0.003
SM-004;10838.2;11143;4044;10;70;80;1;0.016
SM-004;10838.2;11143;4034;10;80;90;1;0.005
SM-004;10838.2;11143;4024;10;90;100;1;0.028
SM-004;10838.2;11143;4014;10;100;110;1;0.021
SM-004;10838.2;11143;4004;10;110;120;1;0.034
SM-004;10838.2;11143;3994;10;120;130;1;0.028
SM-004;10838.2;11143;3984;10;130;140;1;0.034
SM-004;10838.2;11143;3974;10;140;150;1;0.018
SM-004;10838.2;11143;3964.75;8.5;150;158.5;1;0.037
SM-005;10990.6;11143;4118.4;10;0;10;1;0
SM-005;10990.6;11143;4108.4;10;10;20;1;0
SM-005;10990.6;11143;4098.4;10;20;30;1;0
SM-005;10990.6;11143;4088.4;10;30;40;1;0
SM-005;10990.6;11143;4078.4;10;40;50;1;0
SM-005;10990.6;11143;4068.4;10;50;60;1;0
SM-005;10990.6;11143;4058.4;10;60;70;1;0.003
SM-005;10990.6;11143;4048.4;10;70;80;1;0.003
SM-005;10990.6;11143;4038.4;10;80;90;1;0
SM-005;10990.6;11143;4028.4;10;90;100;1;0
SM-005;10990.6;11143;4018.4;10;100;110;1;0
SM-005;10990.6;11143;4008.4;10;110;120;1;0
SM-005;10990.6;11143;3998.4;10;120;130;1;0.018
SM-005;10990.6;11143;3988.4;10;130;140;1;0.006
SM-005;10990.6;11143;3978.4;10;140;150;1;0.015
SM-005;10990.6;11143;3968.4;10;150;160;1;0.013
SM-005;10990.6;11143;3958.4;10;160;170;1;0.009
SM-005;10990.6;11143;3953.05;0.7;170;170.7;1;0
SM-006;11143;11143;4124.5;10;0;10;1;0
SM-006;11143;11143;4114.5;10;10;20;1;0
SM-006;11143;11143;4104.5;10;20;30;1;0
SM-006;11143;11143;4094.5;10;30;40;1;0
SM-006;11143;11143;4084.5;10;40;50;1;0
SM-006;11143;11143;4074.5;10;50;60;1;0
SM-006;11143;11143;4064.5;10;60;70;1;0
SM-006;11143;11143;4054.5;10;70;80;1;0
SM-006;11143;11143;4044.5;10;80;90;1;0
SM-006;11143;11143;4034.5;10;90;100;1;0
SM-006;11143;11143;4024.5;10;100;110;1;0
SM-006;11143;11143;4014.5;10;110;120;1;0
SM-006;11143;11143;4004.5;10;120;130;1;0.006
SM-006;11143;11143;3994.5;10;130;140;1;0
SM-006;11143;11143;3984.5;10;140;150;1;0
SM-006;11143;11143;3974.5;10;150;160;1;0
SM-006;11143;11143;3964.5;10;160;170;1;0
SM-006;11143;11143;3954.5;10;170;180;1;0.019
SM-006;11143;11143;3944.5;10;180;190;1;0.007
SM-006;11143;11143;3934.5;10;190;200;1;0.02
SM-006;11143;11143;3924.5;10;200;210;1;0.015
SM-006;11143;11143;3917.8;3.4;210;213.4;1;0.02
SM-007;10381;10990.6;4090.8;10;0;10;0;0
SM-007;10381;10990.6;4080.8;10;10;20;0;0
SM-007;10381;10990.6;4070.8;10;20;30;0;0
SM-007;10381;10990.6;4060.8;10;30;40;0;0
SM-007;10381;10990.6;4050.8;10;40;50;0;0.007
SM-007;10381;10990.6;4040.8;10;50;60;0;0.005
SM-007;10381;10990.6;4030.8;10;60;70;0;0.006
SM-007;10381;10990.6;4020.8;10;70;80;0;0.012
SM-007;10381;10990.6;4010.8;10;80;90;0;0.009
SM-007;10381;10990.6;4000.8;10;90;100;0;0.023
SM-007;10381;10990.6;3990.8;10;100;110;0;0.023
SM-007;10381;10990.6;3980.8;10;110;120;0;0.008
SM-007;10381;10990.6;3974.85;1.9;120;121.9;0;0.02
SM-007;10381;10990.6;3968.9;10;121.9;131.9;1;0.03
SM-007;10381;10990.6;3958.9;10;131.9;141.9;1;0.019
SM-007;10381;10990.6;3948.9;10;141.9;151.9;1;0.046
SM-007;10381;10990.6;3938.9;10;151.9;161.9;1;0.015
SM-007;10381;10990.6;3928.9;10;161.9;171.9;1;0.013
SM-007;10381;10990.6;3918.9;10;171.9;181.9;1;0.015
SM-007;10381;10990.6;3908.9;10;181.9;191.9;1;0.032
SM-007;10381;10990.6;3898.9;10;191.9;201.9;1;0.054
SM-007;10381;10990.6;3888.9;10;201.9;211.9;1;0.046
SM-007;10381;10990.6;3878.9;10;211.9;221.9;1;0.041
SM-007;10381;10990.6;3872.05;3.7;221.9;225.6;1;0.05
SM-008;10533.4;10990.6;4094.6;10;0;10;0;0
SM-008;10533.4;10990.6;4084.6;10;10;20;0;0
SM-008;10533.4;10990.6;4074.6;10;20;30;0;0.129
SM-008;10533.4;10990.6;4064.6;10;30;40;0;0.239
SM-008;10533.4;10990.6;4054.6;10;40;50;0;0.252
SM-008;10533.4;10990.6;4044.6;10;50;60;0;0.28
SM-008;10533.4;10990.6;4034.6;10;60;70;0;0.255
SM-008;10533.4;10990.6;4024.6;10;70;80;0;0.26
SM-008;10533.4;10990.6;4014.6;10;80;90;0;0.26
SM-008;10533.4;10990.6;4004.6;10;90;100;0;0.28
SM-008;10533.4;10990.6;3994.6;10;100;110;0;0.284
SM-008;10533.4;10990.6;3984.6;10;110;120;0;0.293
SM-008;10533.4;10990.6;3974.6;10;120;130;0;0.294
SM-008;10533.4;10990.6;3964.6;10;130;140;0;0.302
SM-008;10533.4;10990.6;3954.6;10;140;150;0;0.281
SM-008;10533.4;10990.6;3944.6;10;150;160;0;0.31
SM-008;10533.4;10990.6;3934.6;10;160;170;0;0.298
SM-008;10533.4;10990.6;3924.6;10;170;180;0;0.308
SM-008;10533.4;10990.6;3918.15;2.9;180;182.9;0;0.29
SM-008;10533.4;10990.6;3911.7;10;182.9;192.9;1;0.314
