BHID,FROM,TO,ROCK
101,0,120.3189858,0.0
101,120.3189858,121.776873,2.0
101,121.776873,124.276873,2.0
101,124.276873,126.776873,1.0
101,126.776873,129.276873,2.0
101,129.276873,131.776873,1.0
101,131.776873,134.276873,1.0
101,134.276873,136.776873,1.0
101,136.776873,139.276873,1.0
101,139.276873,141.776873,1.0
101,141.776873,144.276873,1.0
101,144.276873,146.776873,1.0
101,146.776873,149.276873,1.0
101,149.276873,151.776873,1.0
101,151.776873,154.276873,1.0
101,154.276873,156.776873,1.0
101,156.776873,159.276873,1.0
101,159.276873,161.776873,1.0
101,161.776873,164.276873,1.0
101,164.276873,166.776873,1.0
101,166.776873,169.276873,1.0
101,169.276873,171.776873,1.0
101,171.776873,174.276873,1.0
101,174.276873,176.776873,1.0
101,176.776873,179.276873,1.0
101,179.276873,181.776873,1.0
101,181.776873,184.276873,1.0
101,184.276873,186.776873,1.0
101,186.776873,189.276873,1.0
101,189.276873,191.776873,1.0
101,191.776873,194.276873,1.0
101,194.276873,196.776873,1.0
101,196.776873,197.8624976,1.0
102,0,121.3030081,0.0
102,121.3030081,123.780387,1.0
102,123.780387,126.280387,2.0
102,126.280387,128.780387,1.0
102,128.780387,131.280387,1.0
102,131.280387,133.780387,1.0
102,133.780387,136.280387,1.0
102,136.280387,138.780387,1.0
102,138.780387,141.280387,1.0
102,141.280387,143.780387,2.0
102,143.780387,146.280387,2.0
102,146.280387,148.780387,2.0
102,148.780387,151.280387,1.0
102,151.280387,153.780387,1.0
102,153.780387,156.280387,1.0
102,156.280387,158.780387,1.0
102,158.780387,161.280387,1.0
102,161.280387,163.780387,1.0
102,163.780387,166.280387,1.0
102,166.280387,168.780387,1.0
102,168.780387,171.280387,1.0
102,171.280387,173.780387,1.0
102,173.780387,176.280387,1.0
102,176.280387,178.780387,1.0
102,178.780387,181.280387,1.0
102,181.280387,183.780387,1.0
102,183.780387,186.280387,1.0
102,186.280387,188.780387,1.0
102,188.780387,191.280387,1.0
102,191.280387,193.780387,1.0
102,193.780387,196.280387,1.0
102,196.280387,198.780387,1.0
102,198.780387,201.280387,1.0
102,201.280387,203.780387,1.0
102,203.780387,204.9605654,1.0
103,0,122.3456896,0.0
103,122.3456896,123.2748292,1.0
103,123.2748292,125.7748292,1.0
103,125.7748292,128.2748292,2.0
103,128.2748292,130.7748292,2.0
103,130.7748292,133.2748292,1.0
103,133.2748292,135.7748292,1.0
103,135.7748292,138.2748292,1.0
103,138.2748292,140.7748292,1.0
103,140.7748292,143.2748292,1.0
103,143.2748292,145.7748292,1.0
103,145.7748292,148.2748292,1.0
103,148.2748292,150.7748292,1.0
103,150.7748292,153.2748292,1.0
103,153.2748292,155.7748292,1.0
103,155.7748292,158.2748292,1.0
103,158.2748292,160.7748292,1.0
103,160.7748292,163.2748292,1.0
103,163.2748292,165.7748292,1.0
103,165.7748292,168.2748292,1.0
103,168.2748292,170.7748292,1.0
103,170.7748292,173.2748292,1.0
103,173.2748292,175.7748292,1.0
103,175.7748292,178.2748292,1.0
103,178.2748292,180.7748292,1.0
103,180.7748292,183.2748292,1.0
103,183.2748292,185.7748292,1.0
103,185.7748292,188.2748292,1.0
103,188.2748292,190.7748292,1.0
103,190.7748292,193.2748292,1.0
103,193.2748292,195.7748292,1.0
103,195.7748292,198.2748292,1.0
103,198.2748292,200.7748292,1.0
103,200.7748292,203.2748292,1.0
103,203.2748292,205.7748292,1.0
103,205.7748292,208.2748292,1.0
103,208.2748292,210.7748292,1.0
103,210.7748292,212.4884472,1.0
104,0,110.8305459,0.0
104,110.8305459,111.9332853,1.0
104,111.9332853,114.4332853,2.0
104,114.4332853,116.9332853,2.0
104,116.9332853,119.4332853,1.0
104,119.4332853,121.9332853,1.0
104,121.9332853,124.4332853,1.0
104,124.4332853,126.9332853,1.0
104,126.9332853,129.4332853,1.0
104,129.4332853,131.9332853,1.0
104,131.9332853,134.4332853,1.0
104,134.4332853,136.9332853,1.0
104,136.9332853,139.4332853,2.0
104,139.4332853,141.9332853,2.0
104,141.9332853,144.4332853,1.0
104,144.4332853,146.9332853,1.0
104,146.9332853,149.4332853,1.0
104,149.4332853,151.9332853,1.0
104,151.9332853,154.4332853,1.0
104,154.4332853,156.9332853,1.0
104,156.9332853,159.4332853,2.0
104,159.4332853,161.9332853,2.0
104,161.9332853,164.4332853,2.0
104,164.4332853,166.9332853,2.0
104,166.9332853,169.4332853,1.0
104,169.4332853,171.9332853,1.0
104,171.9332853,174.4332853,1.0
104,174.4332853,176.9332853,1.0
104,176.9332853,179.4332853,1.0
104,179.4332853,181.9332853,1.0
104,181.9332853,184.4332853,1.0
104,184.4332853,186.9332853,1.0
104,186.9332853,189.4332853,1.0
104,189.4332853,191.9332853,1.0
104,191.9332853,194.4332853,1.0
104,194.4332853,196.9332853,1.0
104,196.9332853,199.14086,1.0
105,0,98.27057033,0.0
105,98.27057033,99.42889918,2.0
105,99.42889918,101.9288992,3.0
105,101.9288992,104.4288992,2.0
105,104.4288992,106.9288992,2.0
105,106.9288992,109.4288992,3.0
105,109.4288992,111.9288992,3.0
105,111.9288992,114.4288992,2.0
105,114.4288992,116.9288992,2.0
105,116.9288992,119.4288992,2.0
105,119.4288992,121.9288992,2.0
105,121.9288992,124.4288992,2.0
105,124.4288992,126.9288992,1.0
105,126.9288992,129.4288992,1.0
105,129.4288992,131.9288992,1.0
105,131.9288992,134.4288992,1.0
105,134.4288992,136.9288992,1.0
105,136.9288992,139.4288992,1.0
105,139.4288992,141.9288992,1.0
105,141.9288992,144.4288992,1.0
105,144.4288992,146.9288992,1.0
105,146.9288992,149.4288992,2.0
105,149.4288992,151.9288992,1.0
105,151.9288992,154.4288992,2.0
105,154.4288992,156.9288992,2.0
105,156.9288992,159.4288992,2.0
105,159.4288992,161.9288992,2.0
105,161.9288992,164.4288992,1.0
105,164.4288992,166.9288992,1.0
105,166.9288992,169.4288992,1.0
105,169.4288992,171.9288992,1.0
105,171.9288992,174.4288992,1.0
105,174.4288992,176.9288992,1.0
105,176.9288992,179.4288992,1.0
105,179.4288992,181.9288992,1.0
105,181.9288992,184.4288992,1.0
105,184.4288992,185.0066487,1.0
106,0,62.37626764,0.0
106,62.37626764,62.45536484,2.0
106,62.45536484,64.95536484,2.0
106,64.95536484,67.45536484,2.0
106,67.45536484,69.95536484,2.0
106,69.95536484,72.45536484,2.0
106,72.45536484,74.95536484,2.0
106,74.95536484,77.45536484,2.0
106,77.45536484,79.95536484,2.0
106,79.95536484,82.45536484,2.0
106,82.45536484,84.95536484,1.0
106,84.95536484,87.45536484,2.0
106,87.45536484,89.95536484,1.0
106,89.95536484,92.45536484,1.0
106,92.45536484,94.95536484,1.0
106,94.95536484,97.45536484,2.0
106,97.45536484,99.95536484,1.0
106,99.95536484,102.4553648,1.0
