BHID,AT,BRG,DIP
101,0,0,90
102,0,0,90
103,0,0,90
104,0,0,90
105,0,0,90
106,0,0,90
107,0,0,90
108,0,0,90
109,0,0,90
110,0,0,90
111,0,0,90
112,0,0,90
113,0,0,90
114,0,0,90
115,0,0,90
116,0,0,90
117,0,0,90
118,0,0,90
119,0,0,90
121,0,0,90
122,0,0,90
123,0,0,90
124,0,0,90
125,0,0,90
126,0,0,90
127,0,0,90
128,0,0,90
129,0,0,90
130,0,0,90
131,0,0,90
132,0,0,90
135,0,0,90
136,0,0,90
137,0,0,90
138,0,0,90
139,0,0,90
140,0,0,90
141,0,0,90
142,0,0,90
143,0,0,90
144,0,0,90
145,0,0,90
146,0,0,90
147,0,0,90
148,0,0,90
149,0,0,90
150,0,0,90
151,0,0,90
152,0,0,90
153,0,0,90
154,0,0,90
155,0,0,90
156,0,0,90
157,0,0,90
158,0,0,90
159,0,0,90
160,0,0,90
161,0,0,90
162,0,0,90
163,0,0,90
164,0,0,90
165,0,0,90
166,0,0,90
167,0,0,90
168,0,0,90
169,0,0,90
170,0,0,90
171,0,0,90
172,0,0,90
173,0,0,90
174,0,0,90
175,0,0,90
176,0,0,90
177,0,0,90
178,0,0,90
179,0,0,90
180,0,0,90
181,0,0,90
182,0,0,90
183,0,0,90
184,0,0,90
185,0,0,90
186,0,0,90
187,0,0,90
188,0,0,90
189,0,0,90
190,0,0,90
191,0,0,90
192,0,0,90
193,0,0,90
194,0,0,90
196,0,0,90
198,0,0,90
199,0,0,90
200,0,0,90
201,0,0,90
202,0,0,90
203,0,0,90
204,0,0,90
205,0,0,90
206,0,0,90
207,0,0,90
208,0,0,90
209,0,0,90
210,0,0,90
211,0,0,90
212,0,0,90
213,0,0,90
214,0,0,90
215,0,0,90
216,0,0,90
217,0,0,90
218,0,0,90
219,0,0,90
220,0,0,90
221,0,0,90
222,0,0,90
224,0,0,90
225,0,0,90
226,0,0,90
228,0,0,90
229,0,0,90
230,0,0,90
231,0,0,90
232,0,0,90
233,0,0,90
234,0,0,90
235,0,0,90
236,0,0,90
237,0,0,90
238,0,0,90
239,0,0,90
240,0,0,90
241,0,0,90
242,0,0,90
243,0,0,90
244,0,0,90
245,0,0,90
246,0,0,90
247,0,0,90
248,0,0,90
250,0,0,90
251,0,0,90
252,0,0,90
253,0,0,90
254,0,0,90
255,0,0,90
256,0,0,90
258,0,0,90
260,0,0,90
261,0,0,90
262,0,0,90
263,0,0,90
264,0,0,90
266,0,0,90
267,0,0,90
268,0,0,90
269,0,0,90
